channelId,channelName,viewCount,subscriberCount,videoCount,uploads,videoIDs
UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden,797639776,4070000,147,UUTSRIY3GLFYIpkR2QwyeklA,"_9Z05Ik5r2U,HrjB_QYVGp8,Xc4YH0nv_90,DVa4tfzpZ90,6HEheIozS5c,5CRD9pmqa7s,iC97eT8W3Xg,wJRTM36jANc,gKgSvAyPFlU,Ws_YyegWGKY,caVoqAfdkYQ,sL-PL1hpnM0,YZDFAmaaa6E,BaVpeJlcQzg,k9J4H5gkLqw,1NEseESJK_4,28k53NsAcVg,x43XZudPuEQ,WbAuL4fg5LI,opHii8PBrQU,3HFi09o_iLU,ZteAovHJllk,kVNl1P9StSU,_lh-fm2vl_0,WU-7kn8EXWA,G_FUmf0T8YI,97Z3qSSbwkY,jygerYwwFwg,VpVRjP3I2oI,UTHKgVPZ-is,Ks5rAUSAiPw,uxo8kHgqYYg,OrgXCNzdkwA,vhuSnVFMDHk,AGjxX4gvaqk,8f-YvNffXb8,Xq45598A7Vc,waZyyWnNJ_Y,nXKbdG2qBJU,RXrK6t-Yzaw,ycdNmAGk2PQ,BfzXLjK6Pno,YAvs-RqTIhk,itWEMxATuJk,0EX3l7K8VMY,e0ClxU3uxQI,hsMujJYPagQ,WAsFLsG0qPY,OebE2GYtFkA,aSZrpi0wbPI"
UCoLrcjPV5PbUrUyXq5mjc_A,MLB,4435772993,4740000,291015,UUoLrcjPV5PbUrUyXq5mjc_A,"KKOAUFJp7tA,-MMT7s-dnE4,tXBpVKj_nek,JpYhJN1MJ_M,sGRvYMF0d_o,RKTJfBbDXu0,AF3MPxSFqRw,WpRDCFEMyJw,5EP5zVHnXJY,1XCYUbUpHpU,CZOY-x-rltA,a4vmEpHfBAk,IIZxDCYloVs,rb_gJKoytmU,66toTA8SkfU,irShtpHm1eU,WZV2z3pvPtY,lz3-s5Jk9uM,Jn864tDGs8E,HlRHLLMJojE,M8Zag4KlRPc,KXco2Up4_lY,r-h-FNLVb0Q,DZXyP0iFu00,IplPPQ9AG3M,897n06gs7eY,-PXRHmBZkz0,J7f9rtlwJV8,Fa--z4bRoUQ,ewyCg_lvL4E,LqC6qrx4dns,3lyhHx18G7k,X9BITbgi6cI,WhgRrfNSJHE,P7Ep4hjd760,-gxO3GfWrNo,TbuIWP0rTqU,bBsiH0oHyi4,mb4NWa9o_uY,jq0Z5uPh8To,nk3k5ZJi4bg,GziuESakeLE,20eND0J9wKo,j-drHtYKios,yLiycZb22PY,octW0ou7G_I,Xzwq2WNQUvw,BtLAVfJvdIE,R2jgp4D5g18,KgxAL2GywFc"
UC8p1vwvWtl6T73JiExfWs1g,CBS News,4621122530,5350000,115284,UU8p1vwvWtl6T73JiExfWs1g,"GDJpaTbqPO8,YJf1UGnAAJo,6KhLpXjLP58,ujqUNA5pqNM,92HlaEvLmgM,XJxWWZgkKRQ,MuyqWhbRyXY,FavlEj4ACPM,BkNS7dl8RuY,BibOzNCx9uE,inKf0LiGVOM,jPNl_AjiA6o,Q6LUiL6x_PY,VQRflQsikTM,PEl8ktNUxac,6L-1aVKXamw,9ncf2ZDu-YU,mDR1KLEv8w8,eLCtq1CLDDc,_vl-wH3xoCg,yZoxWYG1VYo,3NlF_asfdm4,BaGYH4lWmTQ,MC1Nv_5KtLw,btsZOFmeKY4,Ag-Ch5rUWlU,jCGGFidIt7s,1GzeQaiWO3c,IPpDWGzoQMU,P4Fbx09qHG0,PUHHhEETxqQ,lOkTVn15tnk,8GKNXjxvur8,AtQ3S_2fsKY,3H_L7iPEEgg,W5m_9-Fi0y0,AG-OqgQ7RBY,-fDAAn6DiY0,AWvZfBENJmk,2YXAcr-X1pA,GwWAo1teeMo,AVH2oYN7OM8,70WkpFPSRJk,wVM9jX9M7kM,6z1nIeiPrrs,TKWCGR7Kz94,6jyha5I_SOc,aBmgParyXNo,Om-NIqO7fBA,ivT_4Lla8VU"
UCSUf5_EPEfl4zlBKZHkZdmw,Danny Gonzalez,1466205825,6310000,280,UUSUf5_EPEfl4zlBKZHkZdmw,"scg2kU1pHc4,t_bFzKZcPNg,1fIRv1mG3DY,7Mjt88HIXZY,mShDN5QxcMM,G09W3NwwAVs,-R36NON7a2I,ZdcjEIaior0,m8LBvGX2hCQ,smmnfFfJS7w,kEnh_5z4I7w,EuISxGGBflY,6sh2Ib3DklI,_tgGmYerbB4,zCoMjByGJZw,H2fHTJZqaKA,uubMLkM5L9E,KXDWjYWlqpQ,AivQBXds-r0,lDkGLFGbTsE,fSlAuweAhsA,2SKUPy0SlHQ,ypoP8LE-oMQ,My-wATP3kLE,GGGlbe2y5jE,DUqcrdEZopY,aDtnSrGq9dM,cKCQUbVx4mo,38ExeUlbH2k,vlT3zUrRT6c,wUSKQ08A7UY,O2Fft4QLDbU,Hyd5T_I1Qvk,5zZk0NPxiGM,0NYEVhcm6i0,_8bzFEBTTvI,H1tQhK0n5Qk,iji6xzorcqc,fkrE5J1qZ-0,Ud6JonLO29o,Q3tSVS4CeW4,iO8la7BZUlA,tt-BXsEehnA,qa66sMRh2MU,SpmHLq-LP58,lbRXd3KAEGk,QBZHTAa7vfM,w_6HHWCdl7w,_OKk0wFojB8,Cf9yxV1UG60"
UCxtLc0Jqq3SKBWlIXM_OC9g,Hongyu ASMR 홍유,5275752650,15300000,668,UUxtLc0Jqq3SKBWlIXM_OC9g,"L6T8molcN9g,H4OPvKWuPqM,21YGd0KAZk0,WNYHiUBkpFA,d_A6CzdlAyA,UC6U2VOAVLA,EMk15LhAvBs,mnY5O5vC_q4,BBycTSz_Z6g,zqsR_BJ_4vE,QvKS5HI6bX8,6N1I5SPVdqQ,v5ea8gw8cCE,UaJTx_Y5ehg,Ei2elLJlacE,H5KEGcgKe_g,cqvH5nzg-jY,dXK2DPYepqc,uWSD9WjibR4,-S8hM82eN2w,WcjM-GkAWb0,OwowtMYy4Dg,fkuX7dhBwOc,B_hOpOoseUE,nXXll4eEQag,b-B8-Y1B1Ao,1MU1WZjx7Lg,KaHdg1i4SlU,_puctSnYM9c,OWAGBoZViMc,hzRcbot1UDY,f957TBzSIbQ,oN10-Dxb0tE,KlrAnhbm6oM,corvpQgW0eI,Yt0y-_9GxL8,XXVBBk0P5Ko,g0_wVhHcFag,50NFcu_2F5A,QF2ll_-gffM,mYo8vUIxJZU,D_K6iApOxv4,XlcHlaa4o48,oREFrHRKLcY,_98-2sBXGds,OKkkae24_tQ,wU21oR8tGVk,9hYJT5_1Cz4,m5nb3i0zb4k,2xYORWj97CU"
UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,8340302928,13900000,4794,UUq6VFHwMzcMXbuKyG7SQYIg,"YvtJ_7TF7uM,wgZO-VcRiKM,BWamjrom2ro,KeUYSAs9ARQ,VivtJ6lCv1g,LFHwqQno29c,S3Bx5l0PX1Q,R4FRyQJChbM,rMwP0diw9vM,q0PF_jRy4kQ,kB7lNkyZbYU,uAs0o4vFQKs,ToH14OiFhnI,ddsl46PBq08,Xhcozpg_tl0,GBPRwDSgqyI,wzUfUaAV_pQ,touL_nKxp5A,xcldn8Fpx1Y,YmqiWrn0g3k,HUyrSBs6KRk,pQavdTKGDvM,Gqb5hL8VrOk,nh3tyMBg8zk,aecnWEbm3Zg,EiAHVk9wlMA,YhNfH11KVJ8,T3l_ICWEn5o,bz-H8Rq3UQk,2pZgnaRq9eU,YxStSmMWwEQ,ahjUOTaEFGA,fITZfWXwxv4,g8GASxnz9V0,mxjfmy1rJv4,ItC6ZwsT5Jo,TpCeUyy6264,05pV1Zy1lBk,vDgWIgTzu78,FVe-87qMFzM,hq53nLpM4BI,9aHLmSWcyWc,SgeT1NJfYaU,Ajz-iylNBDw,Y6tDkrxOXr8,IQZzc0oQsFk,SlqPpFQ6rmQ,b1Lbhlb8290,Zr3ZOEAzewE,KGqcHhCeOKA"
UCJHA_jMfCvEnv-3kRjTCQXw,Babish Culinary Universe,2635993973,10100000,671,UUJHA_jMfCvEnv-3kRjTCQXw,"NhnMX2dIrsI,Ubj0rdvdpqs,QsMNoGvPAJ4,XBNrb9HFpII,jHDrv64NK2M,CjrFY616svo,a_RooFHWgjI,-hePdX-n8w0,fSynvv8yjbk,e7XnRzXj6zw,Nne4vRy0DCE,3SVHep7eZwQ,tGEzJTdZ1xc,CFkVS9vhIQY,Xfh8Vi-wE-g,5PSsDzPoJyQ,L7sUsGQpDVI,7Rp3etXNy3c,xLDwcymlhsk,RcOAtrUdwmU,MsJs3rq2keQ,v-uQOBC3IOY,FTWrSPJbhpQ,v0x__J11_t4,tVmhieZDmdA,YBbweE6O-Z4,n5hGWOAN3So,mhLM0FUlhJg,FMXVW_ObgR4,CYEFR_kg6Us,fLD2WXPhUQ0,R82i0ufT5AM,b4774h94RUk,GymqadVYSXk,Ris0udk2C84,sbic38T-d28,3dU8FaZSvTg,AHiIznBNdIM,mXtKxjyfRFU,CofpcrSyCPg,SRadZkJOc6U,LFzKMgYpnfU,sf4AoqBnSKI,hq2hRMDYKWQ,hdOjA_ydcR4,VYDvTNToe3M,CsrHrTYwrzM,QUB7xXizOGs,eCnBX0GlRbA,fMt2ca4jdY4"
UCDWIvJwLJsE4LG1Atne2blQ,h3h3Productions,1363063323,5960000,275,UUDWIvJwLJsE4LG1Atne2blQ,"OCjN_yBkyDk,nbHGAu9Kn_c,gF-XOv6ajyY,DAUqqz-xaJ4,w3gXcIifc3o,i3H136iSDu8,Gld72uZeKAc,TBql5f5ipDI,jLIPA621fQI,jrHz8Bti6FY,JNpKUp5FTeY,OX_Bini29kU,gUU1HOj7o2k,S9rw7H6Guc0,Mtl-Lc1y4YU,CiHUcQG7bH4,AU4fXUVd3o0,IKjK9_pTjYk,yRXWYrgoHg8,Cylt4QXHuaI,BuEgzFAM6Es,HE2Jg3GXH6Q,jw7LD2-gg14,3ewyEF3Wd9M,EtgxTKuN018,rQM4-zbS9fc,8o12WrHBhU0,kykfP6T09xA,GzRw4l3JIbk,e2SUGfXVy4A,wS8a5as4d-I,leeXT7b31MM,JN7qaeiRq8U,JfsxLhPn-oA,gim3d1qlZog,XdkMrDmODtw,OgHct5RkRwE,j5s-s1oGzVM,NvdDKjy-87w,cyIftAPf7kM,PSFs8QRPEY4,GZPuPoQe_3Y,DK0Ej9T3vfY,iL_wGOJAvC4,vb97DrNDSfM,zlAqizx7Lf0,SV1ho61qaG4,wLjza0c-ykQ,_HEjlT8DWqg,EhL2OWXZ26s"
UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight,3684370023,9220000,421,UU3XTzVzaHQEd30rQbuvCtTQ,"AiOUojVd6xQ,Za45bT41sXg,lzsZP9o7SlI,82QYlbiawJI,18PL6enCwh8,sy5VQvDGKd4,o7zazuy_UfI,41vETgarh_8,qrizmAo17Os,_uSZwErdH3I,Bd2bbHoVQSM,wJDk-czsivk,M81-GM0mTc4,Sqa8Zo2XWc4,a546lxxJIhE,s3gUpyEI_rQ,HkvQywg_uZA,UMqLDhl8PXw,KWterDbJKjY,Y0LA7Ff2hgs,xQLqIWbc9VM,Ns8NvPPHX5Y,kCOnGjvYKI0,eJPLiT1kCSM,uySgklnlX3Y,DNy6F7ZwX8I,3YNku5FKWjw,6p8zAbFKpW0,x2hw_ghPcQs,pQcFCFZIuZI,jtIZZs-GAOA,MBo4GViDxzc,6RxqNv6bEug,jtxew5XUVbQ,L4qmDnYli2E,jXf04bhcjbg,KgwqQGvYt0g,AEa3sK1iZxc,jDdYFhzVCDM,C-YRSqaPtMg,FtdVglihDok,MalsOLSFvX0,-v0XiUQlRLw,Hk011WMM7t0,obCNQ0xksZ4,wqn3gR1WTcA,phieTCxQRLA,RMpCGD7b_H4,-_Y7uqqEFnY,kpYYdCzTpps"
UCfp86n--4JvqKbunwSI2lYQ,Cody Ko,1542430743,6100000,413,UUfp86n--4JvqKbunwSI2lYQ,"O83lwTRfFH4,vSyCMjpAsjk,vclcXO3pGtk,6PKYTzjSZ1g,BsG929YSt8M,QePBqGQDzgw,H3mFoQAYGsM,-xeyAMhmw7k,JdDUw82NdUA,2xZ_jxpfVCA,bEalCx-pkBk,AjmQwtyUDjo,BsYgQaS6itw,bI56oAmio78,cILXjqqtMrw,R3J3QV1Cc6E,Gx8s_6Iz3ME,pVPjs_1JLQo,1qTJFvgPnCI,LT0v7LeKxjg,4CbJEzu50Ag,Z24inVT-mqQ,f7TXGsGaJWQ,eTOBJnr3LjI,nkaUNst7EFo,OVnK-AcQkyQ,boYqN2gK_C0,ukoPseQkS1Y,6di0r-1b5YU,EBQeAZH6fIA,3hxhHyCcBqw,S7GDgXtWFAY,TqHkVUvs9w4,pOgq9wNVhfc,jTne6FftNAI,QOs0qHDHpo8,22hNauPqMOg,LhUAzphBUzc,g1GSDnW3AOY,O0_O0EYuxeE,BO0lhOUQTFs,8uY02b1h9NQ,U2_jwewcvOw,V6u519jczMY,gfWUMjrdEZI,EzaOUm9OXyw,_avLvFWt1Ik,atMWTRNi6i0,G76j2rIuGEM,nwDI8PIRkis"
